tm,MVm,PVm
0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
1.000000000000000000e+00,1.000000000000000000e+00,-1.600000000000001378e-03
2.000000000000000000e+00,1.000000000000000000e+00,0.000000000000000000e+00
3.000000000000000000e+00,1.000000000000000000e+00,-2.400000000000090863e-03
4.000000000000000000e+00,1.000000000000000000e+00,-4.025000000000033759e-03
5.000000000000000000e+00,1.000000000000000000e+00,-7.249999999999978684e-03
6.000000000000000000e+00,1.000000000000000000e+00,-2.400000000000090863e-03
7.000000000000000000e+00,1.000000000000000000e+00,-3.200000000000002755e-03
8.000000000000000000e+00,1.000000000000000000e+00,-2.400000000000090863e-03
9.000000000000000000e+00,1.000000000000000000e+00,-1.600000000000001378e-03
1.000000000000000000e+01,1.000000000000000000e+00,-3.200000000000002755e-03
1.100000000000000000e+01,1.000000000000000000e+00,-4.824999999999945652e-03
1.200000000000000000e+01,1.000000000000000000e+00,-1.600000000000001378e-03
1.300000000000000000e+01,1.000000000000000000e+00,-1.600000000000001378e-03
1.400000000000000000e+01,1.000000000000000000e+00,0.000000000000000000e+00
1.500000000000000000e+01,1.000000000000000000e+00,0.000000000000000000e+00
1.600000000000000000e+01,1.000000000000000000e+00,0.000000000000000000e+00
1.700000000000000000e+01,1.000000000000000000e+00,0.000000000000000000e+00
1.800000000000000000e+01,1.000000000000000000e+00,0.000000000000000000e+00
1.900000000000000000e+01,1.000000000000000000e+00,0.000000000000000000e+00
2.000000000000000000e+01,1.000000000000000000e+00,0.000000000000000000e+00
2.100000000000000000e+01,1.000000000000000000e+00,0.000000000000000000e+00
2.200000000000000000e+01,1.000000000000000000e+00,1.624999999999943113e-03
2.300000000000000000e+01,1.000000000000000000e+00,4.049999999999975495e-03
2.400000000000000000e+01,1.000000000000000000e+00,4.049999999999975495e-03
2.500000000000000000e+01,1.000000000000000000e+00,4.850000000000065196e-03
2.600000000000000000e+01,1.000000000000000000e+00,6.450000000000066791e-03
2.700000000000000000e+01,1.000000000000000000e+00,8.075000000000009254e-03
2.800000000000000000e+01,1.000000000000000000e+00,8.075000000000009254e-03
2.900000000000000000e+01,1.000000000000000000e+00,8.075000000000009254e-03
3.000000000000000000e+01,1.000000000000000000e+00,8.075000000000009254e-03
3.100000000000000000e+01,1.000000000000000000e+00,8.874999999999921146e-03
3.200000000000000000e+01,1.000000000000000000e+00,1.129999999999995418e-02
3.300000000000000000e+01,1.000000000000000000e+00,8.874999999999921146e-03
3.400000000000000000e+01,1.000000000000000000e+00,1.210000000000004475e-02
3.500000000000000000e+01,1.000000000000000000e+00,1.452499999999989910e-02
3.600000000000000000e+01,1.000000000000000000e+00,1.612499999999989983e-02
3.700000000000000000e+01,1.000000000000000000e+00,1.612499999999989983e-02
3.800000000000000000e+01,1.000000000000000000e+00,1.612499999999989983e-02
3.900000000000000000e+01,1.000000000000000000e+00,1.612499999999989983e-02
4.000000000000000000e+01,1.000000000000000000e+00,1.772499999999990056e-02
4.100000000000000000e+01,1.000000000000000000e+00,1.692499999999998866e-02
4.200000000000000000e+01,1.000000000000000000e+00,2.337500000000005546e-02
4.300000000000000000e+01,1.000000000000000000e+00,2.417499999999996735e-02
4.400000000000000000e+01,1.000000000000000000e+00,2.417499999999996735e-02
4.500000000000000000e+01,1.000000000000000000e+00,2.417499999999996735e-02
4.600000000000000000e+01,1.000000000000000000e+00,2.417499999999996735e-02
4.700000000000000000e+01,1.000000000000000000e+00,2.739999999999991401e-02
4.800000000000000000e+01,1.000000000000000000e+00,3.224999999999998007e-02
4.900000000000000000e+01,1.000000000000000000e+00,3.224999999999998007e-02
5.000000000000000000e+01,1.000000000000000000e+00,3.224999999999998007e-02
5.100000000000000000e+01,1.000000000000000000e+00,3.224999999999998007e-02
5.200000000000000000e+01,1.000000000000000000e+00,3.305000000000006544e-02
5.300000000000000000e+01,1.000000000000000000e+00,3.544999999999998153e-02
5.400000000000000000e+01,1.000000000000000000e+00,4.030000000000004412e-02
5.500000000000000000e+01,1.000000000000000000e+00,4.030000000000004412e-02
5.600000000000000000e+01,1.000000000000000000e+00,4.030000000000004412e-02
5.700000000000000000e+01,1.000000000000000000e+00,4.109999999999995601e-02
5.800000000000000000e+01,1.000000000000000000e+00,4.190000000000004832e-02
5.900000000000000000e+01,1.000000000000000000e+00,4.674999999999993744e-02
6.000000000000000000e+01,1.000000000000000000e+00,4.834999999999993470e-02
6.100000000000000000e+01,1.000000000000000000e+00,4.834999999999993470e-02
6.200000000000000000e+01,1.000000000000000000e+00,4.834999999999993470e-02
6.300000000000000000e+01,1.000000000000000000e+00,4.997500000000006104e-02
6.400000000000000000e+01,1.000000000000000000e+00,5.399999999999991612e-02
6.500000000000000000e+01,1.000000000000000000e+00,5.640000000000000568e-02
6.600000000000000000e+01,1.000000000000000000e+00,5.640000000000000568e-02
6.700000000000000000e+01,1.000000000000000000e+00,5.640000000000000568e-02
6.800000000000000000e+01,1.000000000000000000e+00,5.802499999999995162e-02
6.900000000000000000e+01,1.000000000000000000e+00,6.124999999999989481e-02
7.000000000000000000e+01,1.000000000000000000e+00,6.447500000000001841e-02
7.100000000000000000e+01,1.000000000000000000e+00,6.447500000000001841e-02
7.200000000000000000e+01,1.000000000000000000e+00,6.447500000000001841e-02
7.300000000000000000e+01,1.000000000000000000e+00,6.447500000000001841e-02
7.400000000000000000e+01,1.000000000000000000e+00,7.089999999999996305e-02
7.500000000000000000e+01,1.000000000000000000e+00,7.252499999999990898e-02
7.600000000000000000e+01,1.000000000000000000e+00,7.252499999999990898e-02
7.700000000000000000e+01,1.000000000000000000e+00,7.252499999999990898e-02
7.800000000000000000e+01,1.000000000000000000e+00,7.494999999999993334e-02
7.900000000000000000e+01,1.000000000000000000e+00,7.977500000000006808e-02
8.000000000000000000e+01,1.000000000000000000e+00,8.057499999999997997e-02
8.100000000000000000e+01,1.000000000000000000e+00,8.057499999999997997e-02
8.200000000000000000e+01,1.000000000000000000e+00,8.137500000000005840e-02
8.300000000000000000e+01,1.000000000000000000e+00,8.057499999999997997e-02
8.400000000000000000e+01,1.000000000000000000e+00,8.137500000000005840e-02
8.500000000000000000e+01,1.000000000000000000e+00,8.782499999999995866e-02
8.600000000000000000e+01,1.000000000000000000e+00,8.862500000000003708e-02
8.700000000000000000e+01,1.000000000000000000e+00,8.862500000000003708e-02
8.800000000000000000e+01,1.000000000000000000e+00,9.104999999999989491e-02
8.900000000000000000e+01,1.000000000000000000e+00,9.427500000000002545e-02
9.000000000000000000e+01,1.000000000000000000e+00,9.670000000000004980e-02
9.100000000000000000e+01,1.000000000000000000e+00,9.670000000000004980e-02
