tm,DVm,PVm
0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
1.000000000000000000e+00,1.000000000000000000e+00,0.000000000000000000e+00
2.000000000000000000e+00,1.000000000000000000e+00,2.425000000000032598e-03
3.000000000000000000e+00,1.000000000000000000e+00,3.224999999999944491e-03
4.000000000000000000e+00,1.000000000000000000e+00,4.025000000000033759e-03
5.000000000000000000e+00,1.000000000000000000e+00,1.624999999999943113e-03
6.000000000000000000e+00,1.000000000000000000e+00,3.224999999999944491e-03
7.000000000000000000e+00,1.000000000000000000e+00,3.224999999999944491e-03
8.000000000000000000e+00,1.000000000000000000e+00,7.999999999999118927e-04
9.000000000000000000e+00,1.000000000000000000e+00,2.425000000000032598e-03
1.000000000000000000e+01,1.000000000000000000e+00,4.849999999999887387e-03
1.100000000000000000e+01,1.000000000000000000e+00,8.075000000000009254e-03
1.200000000000000000e+01,1.000000000000000000e+00,8.075000000000009254e-03
1.300000000000000000e+01,1.000000000000000000e+00,8.075000000000009254e-03
1.400000000000000000e+01,1.000000000000000000e+00,8.874999999999921146e-03
1.500000000000000000e+01,1.000000000000000000e+00,1.127500000000001244e-02
1.600000000000000000e+01,1.000000000000000000e+00,1.532499999999998794e-02
1.700000000000000000e+01,1.000000000000000000e+00,1.289999999999995664e-02
1.800000000000000000e+01,1.000000000000000000e+00,1.127500000000001244e-02
1.900000000000000000e+01,1.000000000000000000e+00,9.675000000000011716e-03
2.000000000000000000e+01,1.000000000000000000e+00,1.369999999999986853e-02
2.100000000000000000e+01,1.000000000000000000e+00,8.075000000000009254e-03
2.200000000000000000e+01,1.000000000000000000e+00,8.075000000000009254e-03
2.300000000000000000e+01,1.000000000000000000e+00,1.047499999999992361e-02
2.400000000000000000e+01,1.000000000000000000e+00,1.209999999999986607e-02
2.500000000000000000e+01,1.000000000000000000e+00,1.289999999999995664e-02
2.600000000000000000e+01,1.000000000000000000e+00,1.449999999999995737e-02
2.700000000000000000e+01,1.000000000000000000e+00,1.612499999999989983e-02
2.800000000000000000e+01,1.000000000000000000e+00,1.612499999999989983e-02
2.900000000000000000e+01,1.000000000000000000e+00,1.612499999999989983e-02
3.000000000000000000e+01,1.000000000000000000e+00,1.612499999999989983e-02
3.100000000000000000e+01,1.000000000000000000e+00,1.612499999999989983e-02
3.200000000000000000e+01,1.000000000000000000e+00,1.935000000000002343e-02
3.300000000000000000e+01,1.000000000000000000e+00,1.935000000000002343e-02
3.400000000000000000e+01,1.000000000000000000e+00,1.772499999999990056e-02
3.500000000000000000e+01,1.000000000000000000e+00,2.257499999999996662e-02
3.600000000000000000e+01,1.000000000000000000e+00,2.337499999999987851e-02
3.700000000000000000e+01,1.000000000000000000e+00,2.417499999999996735e-02
3.800000000000000000e+01,1.000000000000000000e+00,2.417499999999996735e-02
3.900000000000000000e+01,1.000000000000000000e+00,2.417499999999996735e-02
4.000000000000000000e+01,1.000000000000000000e+00,2.417499999999996735e-02
4.100000000000000000e+01,1.000000000000000000e+00,2.497499999999987924e-02
4.200000000000000000e+01,1.000000000000000000e+00,2.660000000000000211e-02
4.300000000000000000e+01,1.000000000000000000e+00,2.899999999999991473e-02
4.400000000000000000e+01,1.000000000000000000e+00,3.142499999999994603e-02
4.500000000000000000e+01,1.000000000000000000e+00,3.222500000000003834e-02
4.600000000000000000e+01,1.000000000000000000e+00,3.222500000000003834e-02
4.700000000000000000e+01,1.000000000000000000e+00,3.222500000000003834e-02
4.800000000000000000e+01,1.000000000000000000e+00,3.222500000000003834e-02
4.900000000000000000e+01,1.000000000000000000e+00,3.384999999999997733e-02
5.000000000000000000e+01,1.000000000000000000e+00,3.707499999999992746e-02
5.100000000000000000e+01,1.000000000000000000e+00,3.947500000000001702e-02
5.200000000000000000e+01,1.000000000000000000e+00,3.947500000000001702e-02
5.300000000000000000e+01,1.000000000000000000e+00,4.029999999999987065e-02
5.400000000000000000e+01,1.000000000000000000e+00,4.029999999999987065e-02
5.500000000000000000e+01,1.000000000000000000e+00,4.349999999999987210e-02
5.600000000000000000e+01,1.000000000000000000e+00,4.834999999999993470e-02
5.700000000000000000e+01,1.000000000000000000e+00,4.834999999999993470e-02
5.800000000000000000e+01,1.000000000000000000e+00,4.834999999999993470e-02
5.900000000000000000e+01,1.000000000000000000e+00,5.157499999999988483e-02
6.000000000000000000e+01,1.000000000000000000e+00,5.157499999999988483e-02
6.100000000000000000e+01,1.000000000000000000e+00,5.480000000000000149e-02
6.200000000000000000e+01,1.000000000000000000e+00,5.559999999999991338e-02
6.300000000000000000e+01,1.000000000000000000e+00,5.640000000000000568e-02
6.400000000000000000e+01,1.000000000000000000e+00,5.640000000000000568e-02
6.500000000000000000e+01,1.000000000000000000e+00,5.802499999999995162e-02
6.600000000000000000e+01,1.000000000000000000e+00,6.204999999999998017e-02
6.700000000000000000e+01,1.000000000000000000e+00,6.284999999999989206e-02
6.800000000000000000e+01,1.000000000000000000e+00,6.444999999999989626e-02
6.900000000000000000e+01,1.000000000000000000e+00,6.444999999999989626e-02
7.000000000000000000e+01,1.000000000000000000e+00,6.444999999999989626e-02
7.100000000000000000e+01,1.000000000000000000e+00,6.444999999999989626e-02
7.200000000000000000e+01,1.000000000000000000e+00,6.444999999999989626e-02
7.300000000000000000e+01,1.000000000000000000e+00,6.527499999999993030e-02
7.400000000000000000e+01,1.000000000000000000e+00,6.767500000000001292e-02
7.500000000000000000e+01,1.000000000000000000e+00,7.169999999999987494e-02
7.600000000000000000e+01,1.000000000000000000e+00,7.089999999999996305e-02
7.700000000000000000e+01,1.000000000000000000e+00,7.252499999999990898e-02
7.800000000000000000e+01,1.000000000000000000e+00,7.252499999999990898e-02
7.900000000000000000e+01,1.000000000000000000e+00,7.252499999999990898e-02
8.000000000000000000e+01,1.000000000000000000e+00,7.332500000000000129e-02
8.100000000000000000e+01,1.000000000000000000e+00,7.735000000000002984e-02
8.200000000000000000e+01,1.000000000000000000e+00,7.814999999999994174e-02
8.300000000000000000e+01,1.000000000000000000e+00,7.977499999999988767e-02
8.400000000000000000e+01,1.000000000000000000e+00,8.057499999999997997e-02
8.500000000000000000e+01,1.000000000000000000e+00,8.137499999999989186e-02
8.600000000000000000e+01,1.000000000000000000e+00,8.379999999999991622e-02
8.700000000000000000e+01,1.000000000000000000e+00,8.620000000000001272e-02
8.800000000000000000e+01,1.000000000000000000e+00,8.862499999999987055e-02
8.900000000000000000e+01,1.000000000000000000e+00,8.862499999999987055e-02
9.000000000000000000e+01,1.000000000000000000e+00,9.024999999999998301e-02
9.100000000000000000e+01,1.000000000000000000e+00,9.264999999999989910e-02
9.200000000000000000e+01,1.000000000000000000e+00,9.667499999999992766e-02
9.300000000000000000e+01,1.000000000000000000e+00,9.667499999999992766e-02
9.400000000000000000e+01,1.000000000000000000e+00,9.667499999999992766e-02
9.500000000000000000e+01,1.000000000000000000e+00,9.749999999999996170e-02
9.600000000000000000e+01,1.000000000000000000e+00,9.667499999999992766e-02
9.700000000000000000e+01,1.000000000000000000e+00,9.989999999999987779e-02
9.800000000000000000e+01,1.000000000000000000e+00,1.015250000000000041e-01
9.900000000000000000e+01,1.000000000000000000e+00,1.047499999999999404e-01
1.000000000000000000e+02,1.000000000000000000e+00,1.047499999999999404e-01
1.010000000000000000e+02,1.000000000000000000e+00,1.047499999999999404e-01
1.020000000000000000e+02,1.000000000000000000e+00,1.087749999999999828e-01
1.030000000000000000e+02,1.000000000000000000e+00,1.112000000000000072e-01
1.040000000000000000e+02,1.000000000000000000e+00,1.128000000000000114e-01
