t,MV,PV,DV
0.000000000000000000e+00,5.000000000000000000e+01,1.864300000000000068e+01,5.000000000000000000e+01
1.000000000000000000e+00,5.000000000000000000e+01,1.864300000000000068e+01,5.000000000000000000e+01
2.000000000000000000e+00,5.000000000000000000e+01,1.864300000000000068e+01,5.000000000000000000e+01
3.000000000000000000e+00,5.000000000000000000e+01,1.864300000000000068e+01,5.000000000000000000e+01
4.000000000000000000e+00,5.000000000000000000e+01,1.864300000000000068e+01,5.000000000000000000e+01
5.000000000000000000e+00,5.000000000000000000e+01,1.864300000000000068e+01,5.000000000000000000e+01
6.000000000000000000e+00,5.000000000000000000e+01,1.896499999999999986e+01,5.000000000000000000e+01
7.000000000000000000e+00,5.000000000000000000e+01,1.896499999999999986e+01,5.000000000000000000e+01
8.000000000000000000e+00,5.000000000000000000e+01,1.896499999999999986e+01,5.000000000000000000e+01
9.000000000000000000e+00,5.000000000000000000e+01,1.896499999999999986e+01,5.000000000000000000e+01
1.000000000000000000e+01,5.000000000000000000e+01,1.902899999999999991e+01,5.000000000000000000e+01
1.100000000000000000e+01,5.000000000000000000e+01,1.919000000000000128e+01,5.000000000000000000e+01
1.200000000000000000e+01,5.000000000000000000e+01,1.928699999999999903e+01,5.000000000000000000e+01
1.300000000000000000e+01,5.000000000000000000e+01,1.928699999999999903e+01,5.000000000000000000e+01
1.400000000000000000e+01,5.000000000000000000e+01,1.931899999999999906e+01,5.000000000000000000e+01
1.500000000000000000e+01,5.000000000000000000e+01,1.954500000000000171e+01,5.000000000000000000e+01
1.600000000000000000e+01,5.000000000000000000e+01,1.960900000000000176e+01,5.000000000000000000e+01
1.700000000000000000e+01,5.000000000000000000e+01,1.960900000000000176e+01,5.000000000000000000e+01
1.800000000000000000e+01,5.000000000000000000e+01,1.977100000000000080e+01,5.000000000000000000e+01
1.900000000000000000e+01,5.000000000000000000e+01,1.993199999999999861e+01,5.000000000000000000e+01
2.000000000000000000e+01,5.000000000000000000e+01,1.993199999999999861e+01,5.000000000000000000e+01
2.100000000000000000e+01,5.000000000000000000e+01,1.996399999999999864e+01,5.000000000000000000e+01
2.200000000000000000e+01,5.000000000000000000e+01,2.025400000000000134e+01,5.000000000000000000e+01
2.300000000000000000e+01,5.000000000000000000e+01,2.025400000000000134e+01,5.000000000000000000e+01
